departamento,ubigeo_departamento_sintetico,mesa_codigo_ejemplo,agrupacion,candidato,votos,pct_votos_validos,pct_votos_emitidos,actas_contabilizadas_pct,actas_enviadas_jee,actas_pendientes,votos_validos_departamento,votos_emitidos_departamento,votos_blancos_departamento,votos_nulos_departamento,votos_impugnados_departamento,electores_habiles_departamento,orden_en_grafico_original,votos_validos_total,votos_emitidos_total,electores_habiles_referencial,nota
Amazonas,140000,000001,Fuerza Popular,K. Fujimori,49526,16.248,13.74,99.837,3,0,304806,360443,21633,33906,98,544624,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Juntos por el Peru,R. Sanchez,27490,9.019,7.627,99.837,3,0,304806,360443,21633,33906,98,544624,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Renovacion Popular,R. Lopez Aliaga,36377,11.934,10.092,99.837,3,0,304806,360443,21633,33906,98,544624,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Partido del Buen Gobierno,J. Nieto,40637,13.332,11.274,99.837,3,0,304806,360443,21633,33906,98,544624,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Partido Civico Obras,R. Belmont,32961,10.814,9.145,99.837,3,0,304806,360443,21633,33906,98,544624,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Ahora Nacion,P. Lopez Chau,22718,7.453,6.303,99.837,3,0,304806,360443,21633,33906,98,544624,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Pais para Todos,C. Alvarez,17039,5.59,4.727,99.837,3,0,304806,360443,21633,33906,98,544624,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Amazonas,140000,000001,Otros,Varias candidaturas,78058,25.609,21.656,99.837,3,0,304806,360443,21633,33906,98,544624,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Fuerza Popular,K. Fujimori,92563,12.79,9.848,100.0,0,0,723690,939898,80003,133678,2527,1240204,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Juntos por el Peru,R. Sanchez,90883,12.558,9.669,100.0,0,0,723690,939898,80003,133678,2527,1240204,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Renovacion Popular,R. Lopez Aliaga,69971,9.669,7.445,100.0,0,0,723690,939898,80003,133678,2527,1240204,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Partido del Buen Gobierno,J. Nieto,100461,13.882,10.689,100.0,0,0,723690,939898,80003,133678,2527,1240204,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Partido Civico Obras,R. Belmont,75947,10.494,8.08,100.0,0,0,723690,939898,80003,133678,2527,1240204,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Ahora Nacion,P. Lopez Chau,55983,7.736,5.956,100.0,0,0,723690,939898,80003,133678,2527,1240204,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Pais para Todos,C. Alvarez,65596,9.064,6.979,100.0,0,0,723690,939898,80003,133678,2527,1240204,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ancash,140100,000002,Otros,Varias candidaturas,172286,23.807,18.33,100.0,0,0,723690,939898,80003,133678,2527,1240204,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Fuerza Popular,K. Fujimori,39292,8.006,6.03,99.909,3,0,490769,651645,66324,92256,2296,968954,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Juntos por el Peru,R. Sanchez,65255,13.296,10.014,99.909,3,0,490769,651645,66324,92256,2296,968954,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Renovacion Popular,R. Lopez Aliaga,64886,13.221,9.957,99.909,3,0,490769,651645,66324,92256,2296,968954,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Partido del Buen Gobierno,J. Nieto,59998,12.225,9.207,99.909,3,0,490769,651645,66324,92256,2296,968954,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Partido Civico Obras,R. Belmont,61133,12.457,9.381,99.909,3,0,490769,651645,66324,92256,2296,968954,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Ahora Nacion,P. Lopez Chau,48961,9.976,7.513,99.909,3,0,490769,651645,66324,92256,2296,968954,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Pais para Todos,C. Alvarez,40293,8.21,6.183,99.909,3,0,490769,651645,66324,92256,2296,968954,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Apurimac,140200,900003,Otros,Varias candidaturas,110951,22.608,17.026,99.909,3,0,490769,651645,66324,92256,2296,968954,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Fuerza Popular,K. Fujimori,52636,14.183,12.218,99.803,4,0,371127,430802,25828,32765,1082,598615,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Juntos por el Peru,R. Sanchez,49301,13.284,11.444,99.803,4,0,371127,430802,25828,32765,1082,598615,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Renovacion Popular,R. Lopez Aliaga,57186,15.409,13.274,99.803,4,0,371127,430802,25828,32765,1082,598615,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Partido del Buen Gobierno,J. Nieto,41672,11.229,9.673,99.803,4,0,371127,430802,25828,32765,1082,598615,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Partido Civico Obras,R. Belmont,40197,10.831,9.331,99.803,4,0,371127,430802,25828,32765,1082,598615,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Ahora Nacion,P. Lopez Chau,23922,6.446,5.553,99.803,4,0,371127,430802,25828,32765,1082,598615,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Pais para Todos,C. Alvarez,27936,7.527,6.485,99.803,4,0,371127,430802,25828,32765,1082,598615,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Arequipa,140300,000004,Otros,Varias candidaturas,78277,21.092,18.17,99.803,4,0,371127,430802,25828,32765,1082,598615,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Fuerza Popular,K. Fujimori,27505,13.087,10.806,99.916,1,0,210174,254525,14264,29247,840,351956,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Juntos por el Peru,R. Sanchez,40096,19.078,15.753,99.916,1,0,210174,254525,14264,29247,840,351956,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Renovacion Popular,R. Lopez Aliaga,14666,6.978,5.762,99.916,1,0,210174,254525,14264,29247,840,351956,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Partido del Buen Gobierno,J. Nieto,12016,5.717,4.721,99.916,1,0,210174,254525,14264,29247,840,351956,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Partido Civico Obras,R. Belmont,27613,13.138,10.849,99.916,1,0,210174,254525,14264,29247,840,351956,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Ahora Nacion,P. Lopez Chau,12986,6.179,5.102,99.916,1,0,210174,254525,14264,29247,840,351956,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Pais para Todos,C. Alvarez,21853,10.398,8.586,99.916,1,0,210174,254525,14264,29247,840,351956,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ayacucho,140400,000005,Otros,Varias candidaturas,53439,25.426,20.996,99.916,1,0,210174,254525,14264,29247,840,351956,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Fuerza Popular,K. Fujimori,161588,24.991,20.288,100.0,0,0,646594,796485,67701,82190,0,1065858,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Juntos por el Peru,R. Sanchez,76855,11.886,9.649,100.0,0,0,646594,796485,67701,82190,0,1065858,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Renovacion Popular,R. Lopez Aliaga,65825,10.18,8.264,100.0,0,0,646594,796485,67701,82190,0,1065858,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Partido del Buen Gobierno,J. Nieto,49772,7.698,6.249,100.0,0,0,646594,796485,67701,82190,0,1065858,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Partido Civico Obras,R. Belmont,74275,11.487,9.325,100.0,0,0,646594,796485,67701,82190,0,1065858,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Ahora Nacion,P. Lopez Chau,28818,4.457,3.618,100.0,0,0,646594,796485,67701,82190,0,1065858,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Pais para Todos,C. Alvarez,37597,5.815,4.72,100.0,0,0,646594,796485,67701,82190,0,1065858,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cajamarca,140500,000006,Otros,Varias candidaturas,151864,23.487,19.067,100.0,0,0,646594,796485,67701,82190,0,1065858,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Fuerza Popular,K. Fujimori,80277,15.617,12.595,99.966,1,0,514050,637351,38953,83866,482,860603,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
