departamento,obras_paralizadas,monto_total_soles,avance_promedio_pct,poblacion_departamento_sintetica,presupuesto_inversion_soles_sintetico,sector,nivel_resumen,monto_por_100k_habitantes,monto_sobre_presupuesto_pct
Amazonas,21,103727522.27,54.56666666666667,340067,780864064.18,Total,departamento-total,30502084.080490023,13.283684962366173
Ancash,46,287013106.77,58.44347826086957,904290,279705625.43,Total,departamento-total,31739055.697840292,102.61256144876099
Apurimac,41,278911831.29,60.55853658536586,474555,511301920.22,Total,departamento-total,58773341.612668715,54.549341643385866
Arequipa,39,235153677.25,51.02307692307693,190783,556782371.22,Total,departamento-total,123257144.1113726,42.234397029263036
Ayacucho,24,161570829.87,47.762499999999996,1103288,457989012.91,Total,departamento-total,14644483.568207033,35.278320072222016
Cajamarca,68,475059265.6,51.51029411764706,236158,853749858.86,Total,departamento-total,201161622.98122445,55.64384704371604
Callao,45,252469629.65,48.162222222222226,221357,875829631.0,Total,departamento-total,114055408.07383548,28.826340273705586
Cusco,52,414832586.55,55.926923076923075,1128519,1074423045.91,Total,departamento-total,36759025.46168917,38.60979975523988
Huancavelica,28,185696003.15,53.93214285714286,549953,459023677.8,Total,departamento-total,33765795.10430892,40.45455869291978
Huanuco,24,143837244.15,48.01666666666667,156869,403504248.92,Total,departamento-total,91692586.90372221,35.64702095082959
Ica,45,248400171.35999998,53.60666666666667,1169818,464494719.33,Total,departamento-total,21234086.957116403,53.477501685767116
Junin,30,98948566.29,51.230000000000004,1189355,334146749.91,Total,departamento-total,8319514.88748103,29.61230845927757
La Libertad,24,121324762.04,50.354166666666664,652861,410255783.1,Total,departamento-total,18583551.788206067,29.572955955242936
Lambayeque,21,133892293.2,45.03809523809524,950009,553241711.35,Total,departamento-total,14093792.079864508,24.201409700884803
Lima,49,445792254.44,53.99795918367347,10300000,362912776.09,Total,departamento-total,4328080.140194175,122.83729970681618
Loreto,25,155326662.83,56.144,344348,451590411.6,Total,departamento-total,45107467.68675875,34.39547404907744
Moquegua,33,255633077.44,53.836363636363636,472082,466990929.96,Total,departamento-total,54150142.86501074,54.74048017632723
