departamento,id_conflicto,tipo_conflicto,estado,en_dialogo,duracion_meses_sintetica,poblacion_afectada_sintetica,nota
Amazonas,CS-AMA-001,socioambiental-mineria,activo,si,1,6733,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-002,gobierno nacional,activo,si,17,1073,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-003,socioambiental-mineria,latente,no aplica,42,10640,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-004,gobierno nacional,activo,si,26,7228,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-005,socioambiental-hidrocarburos,activo,si,10,8730,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-006,socioambiental-hidrocarburos,activo,si,1,1254,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-007,otros,activo,si,14,4851,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-008,gobierno nacional,activo,no,3,9420,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-009,gobierno nacional,activo,no,20,10393,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-010,socioambiental-mineria,activo,no,25,3356,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-011,gobierno nacional,latente,no aplica,7,3232,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-012,gobierno nacional,activo,si,6,1892,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-013,socioambiental-mineria,activo,si,11,8475,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-014,socioambiental-hidrocarburos,activo,si,7,3157,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-015,socioambiental-hidrocarburos,activo,no,1,67701,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-016,gobierno nacional,activo,si,16,6295,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-017,socioambiental-mineria,activo,si,1,11128,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-018,socioambiental-mineria,activo,no,24,7010,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Amazonas,CS-AMA-019,electoral,activo,no,12,13743,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-001,socioambiental-mineria,activo,no,11,5379,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-002,electoral,activo,no,39,9926,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-003,otros,activo,si,20,11510,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-004,comunal,activo,no,16,20300,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-005,gobierno nacional,activo,si,13,806,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-006,comunal,activo,no,24,6500,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-007,socioambiental-hidrocarburos,activo,si,11,15552,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-008,socioambiental-hidrocarburos,activo,si,18,5637,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-009,electoral,latente,no aplica,8,23531,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-010,otros,activo,si,19,54980,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-011,laboral,activo,no,8,18114,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-012,socioambiental-mineria,activo,no,14,2282,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-013,socioambiental-mineria,activo,si,16,6853,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-014,otros,activo,no,34,7116,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-015,electoral,latente,no aplica,23,4450,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-016,otros,activo,no,13,1535,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-017,socioambiental-mineria,activo,si,10,3266,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-018,gobierno nacional,activo,si,38,9533,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-019,otros,activo,si,12,21441,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-020,comunal,activo,no,8,7387,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ancash,CS-ANC-021,socioambiental-mineria,activo,no,28,37922,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-001,comunal,activo,si,4,13358,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-002,gobierno nacional,activo,no,27,4412,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-003,socioambiental-mineria,activo,no,17,1827,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-004,socioambiental-mineria,activo,si,15,3867,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-005,socioambiental-mineria,activo,si,15,3859,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-006,socioambiental-hidrocarburos,activo,si,39,4647,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-007,laboral,activo,si,12,8476,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-008,gobierno nacional,activo,si,13,6420,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-009,socioambiental-mineria,activo,si,21,4043,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-010,otros,activo,si,32,3409,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-011,socioambiental-mineria,activo,no,15,8550,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-012,socioambiental-mineria,activo,no,22,3546,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-013,socioambiental-mineria,activo,no,37,10120,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-014,gobierno nacional,activo,no,17,3316,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-015,socioambiental-mineria,activo,si,25,6149,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-016,socioambiental-mineria,activo,no,13,6389,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-017,socioambiental-mineria,activo,no,30,979,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-018,socioambiental-mineria,activo,no,1,11530,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-019,gobierno nacional,activo,si,14,11961,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-020,otros,activo,no,1,7149,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-021,socioambiental-mineria,activo,no,13,5822,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-022,electoral,activo,no,31,12514,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-023,socioambiental-mineria,activo,si,27,16364,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-024,socioambiental-hidrocarburos,latente,no aplica,26,3782,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-025,socioambiental-mineria,latente,no aplica,10,938,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-026,otros,activo,no,1,3582,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-027,socioambiental-mineria,activo,si,9,1671,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-028,socioambiental-mineria,activo,no,9,2238,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-029,socioambiental-mineria,activo,si,23,2713,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-030,socioambiental-mineria,activo,no,4,6049,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-031,socioambiental-mineria,activo,si,19,2564,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-032,gobierno nacional,activo,si,25,5004,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-033,socioambiental-mineria,activo,no,27,3614,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-034,gobierno nacional,activo,si,30,4505,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-035,socioambiental-mineria,activo,si,40,29202,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-036,gobierno nacional,activo,si,39,6301,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-037,otros,activo,si,4,5494,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-038,otros,activo,si,26,9452,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-039,otros,activo,si,37,14469,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-040,gobierno nacional,activo,no,24,18022,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Apurimac,CS-APU-041,gobierno nacional,latente,no aplica,1,11997,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-001,socioambiental-mineria,latente,no aplica,20,8529,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-002,socioambiental-mineria,latente,no aplica,27,4581,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-003,gobierno nacional,activo,si,14,27197,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-004,laboral,activo,si,7,3204,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-005,gobierno nacional,latente,no aplica,9,3435,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-006,gobierno nacional,activo,si,13,9490,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-007,gobierno nacional,activo,si,20,879,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-008,socioambiental-hidrocarburos,activo,no,20,15882,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-009,socioambiental-hidrocarburos,activo,si,39,5213,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
