distrito_id,internet_hogar_pct,cobertura_movil_pct,minutos_puesto_salud,minutos_capital_provincia,instituciones_educativas,granularidad_servicio,anio_medicion
D00001,43.3,55.3,66.1,175.3,4,distrito-anio,2026
D00002,72.6,68.7,10.8,59.3,10,distrito-anio,2026
D00003,38.0,57.2,78.3,167.4,12,distrito-anio,2026
D00004,58.0,60.1,51.1,74.3,15,distrito-anio,2026
D00005,39.5,46.8,60.0,135.0,4,distrito-anio,2026
D00006,67.7,75.1,34.6,98.2,11,distrito-anio,2026
D00007,51.9,51.5,69.7,41.6,12,distrito-anio,2026
D00008,45.2,46.3,38.3,142.7,11,distrito-anio,2026
D00009,70.1,79.5,53.4,67.7,13,distrito-anio,2026
D00010,23.7,20.0,62.4,162.1,8,distrito-anio,2026
D00011,61.0,74.0,57.1,39.4,4,distrito-anio,2026
D00012,64.2,73.9,52.9,162.8,4,distrito-anio,2026
D00013,31.7,42.5,62.2,166.8,8,distrito-anio,2026
D00014,89.4,99.0,49.7,86.5,10,distrito-anio,2026
D00015,46.7,46.4,30.9,96.9,8,distrito-anio,2026
D00016,60.8,64.4,57.9,191.1,1,distrito-anio,2026
D00017,57.2,63.8,51.3,179.1,7,distrito-anio,2026
D00018,43.2,56.7,66.6,113.5,13,distrito-anio,2026
D00019,55.4,55.8,37.3,19.5,11,distrito-anio,2026
D00020,57.5,66.0,75.2,139.9,5,distrito-anio,2026
D00021,79.2,99.0,9.0,8.0,13,distrito-anio,2026
D00022,69.0,93.9,46.1,46.6,10,distrito-anio,2026
D00023,47.9,64.5,27.3,79.8,10,distrito-anio,2026
D00024,59.2,64.1,29.0,89.9,10,distrito-anio,2026
D00025,65.6,76.1,24.1,70.1,10,distrito-anio,2026
D00026,46.2,64.5,25.4,113.2,2,distrito-anio,2026
D00027,47.7,42.2,30.7,62.8,10,distrito-anio,2026
D00028,80.3,85.3,24.1,136.7,12,distrito-anio,2026
D00029,27.2,34.0,67.3,147.8,5,distrito-anio,2026
D00030,63.7,67.5,33.5,107.5,2,distrito-anio,2026
D00031,67.2,80.8,39.6,72.0,6,distrito-anio,2026
D00032,51.2,52.4,67.8,45.2,7,distrito-anio,2026
D00033,93.9,99.0,5.6,12.4,12,distrito-anio,2026
D00034,61.3,62.5,36.9,73.9,12,distrito-anio,2026
D00035,73.7,90.3,23.7,33.3,13,distrito-anio,2026
D00036,77.5,89.9,8.4,23.0,10,distrito-anio,2026
D00037,48.2,56.9,65.8,169.7,7,distrito-anio,2026
D00038,70.6,87.3,17.3,73.0,9,distrito-anio,2026
D00039,61.9,75.1,5.0,108.2,8,distrito-anio,2026
D00040,73.4,87.0,47.9,86.5,10,distrito-anio,2026
D00041,53.4,60.6,5.0,45.8,9,distrito-anio,2026
D00042,66.7,69.4,51.1,41.5,6,distrito-anio,2026
D00043,51.4,63.2,39.8,66.3,3,distrito-anio,2026
D00044,63.9,70.9,21.8,51.5,8,distrito-anio,2026
D00045,75.2,95.5,50.6,32.5,9,distrito-anio,2026
D00046,71.4,82.3,37.6,68.7,9,distrito-anio,2026
D00047,32.6,33.1,95.9,150.9,5,distrito-anio,2026
D00048,38.1,46.2,67.1,182.7,11,distrito-anio,2026
D00049,76.4,74.0,29.8,29.4,9,distrito-anio,2026
D00050,67.2,75.4,47.0,17.4,10,distrito-anio,2026
D00051,76.5,90.4,56.5,35.9,7,distrito-anio,2026
D00052,30.4,46.4,51.7,114.0,3,distrito-anio,2026
D00053,55.3,72.0,64.3,112.2,7,distrito-anio,2026
D00054,44.9,43.0,38.2,50.2,13,distrito-anio,2026
D00055,53.7,57.2,85.0,178.3,4,distrito-anio,2026
D00056,58.3,60.7,58.1,50.2,9,distrito-anio,2026
D00057,43.7,61.3,54.2,104.0,10,distrito-anio,2026
D00058,59.5,75.2,36.8,38.3,2,distrito-anio,2026
D00059,59.6,70.5,70.0,183.5,6,distrito-anio,2026
D00060,65.2,79.1,90.4,56.0,12,distrito-anio,2026
D00061,35.2,46.8,51.7,191.5,7,distrito-anio,2026
D00062,83.4,91.0,24.2,80.2,8,distrito-anio,2026
D00063,59.2,57.7,58.8,61.7,2,distrito-anio,2026
D00064,49.0,65.3,88.5,176.1,9,distrito-anio,2026
D00065,80.5,85.4,24.3,60.5,4,distrito-anio,2026
D00066,35.7,43.8,65.6,134.0,4,distrito-anio,2026
D00067,48.9,64.1,76.2,149.6,10,distrito-anio,2026
D00068,81.5,97.0,5.0,17.7,3,distrito-anio,2026
D00069,39.7,56.5,77.4,210.1,7,distrito-anio,2026
D00070,59.0,75.8,94.7,97.8,5,distrito-anio,2026
D00071,49.9,67.5,64.4,86.4,6,distrito-anio,2026
D00072,47.5,67.6,30.5,115.2,12,distrito-anio,2026
D00073,46.2,57.2,69.7,128.1,7,distrito-anio,2026
D00074,50.1,59.4,72.1,128.1,8,distrito-anio,2026
D00075,62.5,80.9,46.1,81.7,1,distrito-anio,2026
D00076,60.8,78.8,70.8,47.9,7,distrito-anio,2026
D00077,48.8,65.7,74.2,121.3,2,distrito-anio,2026
D00078,63.3,79.7,30.4,128.7,4,distrito-anio,2026
D00079,69.4,84.4,40.1,78.2,9,distrito-anio,2026
D00080,54.8,75.7,44.3,116.1,7,distrito-anio,2026
D00081,46.8,47.8,60.4,115.6,15,distrito-anio,2026
D00082,66.4,69.2,14.5,103.5,9,distrito-anio,2026
D00083,62.3,79.5,34.3,107.3,12,distrito-anio,2026
D00084,65.9,90.3,55.8,104.4,9,distrito-anio,2026
D00085,59.0,72.5,19.9,53.1,11,distrito-anio,2026
D00086,46.7,68.1,67.1,189.4,10,distrito-anio,2026
D00087,66.4,84.1,45.5,111.1,10,distrito-anio,2026
D00088,58.6,67.4,100.8,138.9,6,distrito-anio,2026
D00089,67.7,77.1,43.3,46.9,7,distrito-anio,2026
D00090,61.0,70.1,92.0,80.8,7,distrito-anio,2026
D00091,94.3,99.0,57.3,21.9,8,distrito-anio,2026
D00092,38.6,42.8,37.8,117.5,9,distrito-anio,2026
D00093,47.8,36.1,28.8,105.2,15,distrito-anio,2026
D00094,55.1,45.6,39.2,8.0,1,distrito-anio,2026
D00095,41.0,41.6,73.4,97.6,8,distrito-anio,2026
D00096,44.0,49.6,82.5,124.8,8,distrito-anio,2026
D00097,60.6,77.0,18.7,34.8,1,distrito-anio,2026
D00098,50.1,67.8,29.0,191.1,1,distrito-anio,2026
D00099,55.8,74.1,49.8,65.3,2,distrito-anio,2026
D00100,62.5,80.9,33.4,143.4,7,distrito-anio,2026
D00101,56.0,57.7,5.7,8.0,11,distrito-anio,2026
D00102,33.1,50.4,76.7,140.7,13,distrito-anio,2026
D00103,57.8,74.3,11.8,63.1,14,distrito-anio,2026
D00104,34.7,54.3,70.3,114.5,5,distrito-anio,2026
D00105,53.2,66.7,47.5,74.3,9,distrito-anio,2026
D00106,63.0,64.6,24.5,35.5,10,distrito-anio,2026
D00107,32.9,27.4,58.1,148.5,8,distrito-anio,2026
D00108,72.3,90.0,65.1,26.3,7,distrito-anio,2026
D00109,42.3,62.6,55.8,8.0,6,distrito-anio,2026
D00110,63.6,79.4,78.0,129.4,12,distrito-anio,2026
D00111,61.0,73.5,32.3,93.4,1,distrito-anio,2026
D00112,56.4,56.8,40.8,137.0,10,distrito-anio,2026
D00113,62.7,68.7,65.1,109.2,6,distrito-anio,2026
