distrito_id,distrito,provincia_id,provincia,departamento_id,departamento,macroregion,tipo_area,quintil_pobreza
D00001,AMA Dist 1-1,P0001,AMA Prov 1,DEP01,Amazonas,Amazonia,rural,3
D00002,AMA Dist 2-1,P0001,AMA Prov 1,DEP01,Amazonas,Amazonia,mixto,2
D00003,AMA Dist 3-1,P0001,AMA Prov 1,DEP01,Amazonas,Amazonia,rural,3
D00004,AMA Dist 4-1,P0001,AMA Prov 1,DEP01,Amazonas,Amazonia,urbano,3
D00005,AMA Dist 5-1,P0001,AMA Prov 1,DEP01,Amazonas,Amazonia,rural,2
D00006,AMA Dist 6-1,P0001,AMA Prov 1,DEP01,Amazonas,Amazonia,mixto,4
D00007,AMA Dist 1-2,P0002,AMA Prov 2,DEP01,Amazonas,Amazonia,urbano,1
D00008,AMA Dist 2-2,P0002,AMA Prov 2,DEP01,Amazonas,Amazonia,rural,3
D00009,AMA Dist 3-2,P0002,AMA Prov 2,DEP01,Amazonas,Amazonia,urbano,3
D00010,AMA Dist 4-2,P0002,AMA Prov 2,DEP01,Amazonas,Amazonia,rural,3
D00011,AMA Dist 5-2,P0002,AMA Prov 2,DEP01,Amazonas,Amazonia,mixto,4
D00012,AMA Dist 1-3,P0003,AMA Prov 3,DEP01,Amazonas,Amazonia,rural,2
D00013,AMA Dist 2-3,P0003,AMA Prov 3,DEP01,Amazonas,Amazonia,rural,1
D00014,AMA Dist 3-3,P0003,AMA Prov 3,DEP01,Amazonas,Amazonia,mixto,3
D00015,AMA Dist 1-4,P0004,AMA Prov 4,DEP01,Amazonas,Amazonia,mixto,3
D00016,AMA Dist 2-4,P0004,AMA Prov 4,DEP01,Amazonas,Amazonia,rural,2
D00017,AMA Dist 3-4,P0004,AMA Prov 4,DEP01,Amazonas,Amazonia,rural,1
D00018,ANC Dist 1-1,P0005,ANC Prov 1,DEP02,Ancash,Costa centro,rural,3
D00019,ANC Dist 2-1,P0005,ANC Prov 1,DEP02,Ancash,Costa centro,urbano,1
D00020,ANC Dist 3-1,P0005,ANC Prov 1,DEP02,Ancash,Costa centro,rural,1
D00021,ANC Dist 1-2,P0006,ANC Prov 2,DEP02,Ancash,Costa centro,urbano,1
D00022,ANC Dist 2-2,P0006,ANC Prov 2,DEP02,Ancash,Costa centro,urbano,2
D00023,ANC Dist 3-2,P0006,ANC Prov 2,DEP02,Ancash,Costa centro,mixto,2
D00024,ANC Dist 4-2,P0006,ANC Prov 2,DEP02,Ancash,Costa centro,urbano,4
D00025,ANC Dist 5-2,P0006,ANC Prov 2,DEP02,Ancash,Costa centro,mixto,4
D00026,ANC Dist 1-3,P0007,ANC Prov 3,DEP02,Ancash,Costa centro,mixto,4
D00027,ANC Dist 2-3,P0007,ANC Prov 3,DEP02,Ancash,Costa centro,urbano,2
D00028,ANC Dist 3-3,P0007,ANC Prov 3,DEP02,Ancash,Costa centro,urbano,1
D00029,ANC Dist 4-3,P0007,ANC Prov 3,DEP02,Ancash,Costa centro,rural,5
D00030,ANC Dist 5-3,P0007,ANC Prov 3,DEP02,Ancash,Costa centro,rural,2
D00031,ANC Dist 6-3,P0007,ANC Prov 3,DEP02,Ancash,Costa centro,urbano,1
D00032,ANC Dist 1-4,P0008,ANC Prov 4,DEP02,Ancash,Costa centro,urbano,3
D00033,ANC Dist 2-4,P0008,ANC Prov 4,DEP02,Ancash,Costa centro,mixto,1
D00034,ANC Dist 3-4,P0008,ANC Prov 4,DEP02,Ancash,Costa centro,mixto,4
D00035,ANC Dist 4-4,P0008,ANC Prov 4,DEP02,Ancash,Costa centro,urbano,3
D00036,APU Dist 1-1,P0009,APU Prov 1,DEP03,Apurimac,Sierra sur,mixto,1
D00037,APU Dist 2-1,P0009,APU Prov 1,DEP03,Apurimac,Sierra sur,rural,3
D00038,APU Dist 3-1,P0009,APU Prov 1,DEP03,Apurimac,Sierra sur,urbano,1
D00039,APU Dist 4-1,P0009,APU Prov 1,DEP03,Apurimac,Sierra sur,mixto,1
D00040,APU Dist 1-2,P0010,APU Prov 2,DEP03,Apurimac,Sierra sur,urbano,2
D00041,APU Dist 2-2,P0010,APU Prov 2,DEP03,Apurimac,Sierra sur,urbano,3
D00042,APU Dist 3-2,P0010,APU Prov 2,DEP03,Apurimac,Sierra sur,urbano,1
D00043,APU Dist 4-2,P0010,APU Prov 2,DEP03,Apurimac,Sierra sur,urbano,3
D00044,APU Dist 1-3,P0011,APU Prov 3,DEP03,Apurimac,Sierra sur,urbano,3
D00045,APU Dist 2-3,P0011,APU Prov 3,DEP03,Apurimac,Sierra sur,urbano,1
D00046,APU Dist 3-3,P0011,APU Prov 3,DEP03,Apurimac,Sierra sur,urbano,1
D00047,APU Dist 1-4,P0012,APU Prov 4,DEP03,Apurimac,Sierra sur,rural,3
D00048,APU Dist 2-4,P0012,APU Prov 4,DEP03,Apurimac,Sierra sur,rural,2
D00049,APU Dist 3-4,P0012,APU Prov 4,DEP03,Apurimac,Sierra sur,urbano,1
D00050,APU Dist 4-4,P0012,APU Prov 4,DEP03,Apurimac,Sierra sur,mixto,2
D00051,APU Dist 5-4,P0012,APU Prov 4,DEP03,Apurimac,Sierra sur,urbano,1
D00052,APU Dist 6-4,P0012,APU Prov 4,DEP03,Apurimac,Sierra sur,rural,4
D00053,ARE Dist 1-1,P0013,ARE Prov 1,DEP04,Arequipa,Costa sur,rural,2
D00054,ARE Dist 2-1,P0013,ARE Prov 1,DEP04,Arequipa,Costa sur,urbano,4
D00055,ARE Dist 3-1,P0013,ARE Prov 1,DEP04,Arequipa,Costa sur,rural,3
D00056,ARE Dist 1-2,P0014,ARE Prov 2,DEP04,Arequipa,Costa sur,urbano,3
D00057,ARE Dist 2-2,P0014,ARE Prov 2,DEP04,Arequipa,Costa sur,rural,2
D00058,ARE Dist 3-2,P0014,ARE Prov 2,DEP04,Arequipa,Costa sur,urbano,1
D00059,AYA Dist 1-1,P0015,AYA Prov 1,DEP05,Ayacucho,Sierra centro,rural,3
D00060,AYA Dist 2-1,P0015,AYA Prov 1,DEP05,Ayacucho,Sierra centro,urbano,2
D00061,AYA Dist 3-1,P0015,AYA Prov 1,DEP05,Ayacucho,Sierra centro,rural,3
