mesa_id,distrito_id,eleccion_id,organizacion_id,organizacion_politica,votos,votos_validos_mesa,votos_emitidos_mesa,votos_blancos_mesa,votos_nulos_mesa,electores_habiles_mesa,estado_acta
M00001-01,D00001,EG2026-PRES,ORG01,Fuerza Popular,28,226,278,22,30,388,contabilizada
M00001-01,D00001,EG2026-PRES,ORG02,Juntos por el Peru,46,226,278,22,30,388,contabilizada
M00001-01,D00001,EG2026-PRES,ORG03,Renovacion Popular,17,226,278,22,30,388,contabilizada
M00001-01,D00001,EG2026-PRES,ORG04,Partido del Buen Gobierno,25,226,278,22,30,388,contabilizada
M00001-01,D00001,EG2026-PRES,ORG05,Otros,110,226,278,22,30,388,contabilizada
M00001-02,D00001,EG2026-PRES,ORG01,Fuerza Popular,14,131,155,6,18,214,contabilizada
M00001-02,D00001,EG2026-PRES,ORG02,Juntos por el Peru,28,131,155,6,18,214,contabilizada
M00001-02,D00001,EG2026-PRES,ORG03,Renovacion Popular,10,131,155,6,18,214,contabilizada
M00001-02,D00001,EG2026-PRES,ORG04,Partido del Buen Gobierno,11,131,155,6,18,214,contabilizada
M00001-02,D00001,EG2026-PRES,ORG05,Otros,68,131,155,6,18,214,contabilizada
M00002-01,D00002,EG2026-PRES,ORG01,Fuerza Popular,40,190,231,14,27,305,contabilizada
M00002-01,D00002,EG2026-PRES,ORG02,Juntos por el Peru,16,190,231,14,27,305,contabilizada
M00002-01,D00002,EG2026-PRES,ORG03,Renovacion Popular,36,190,231,14,27,305,contabilizada
M00002-01,D00002,EG2026-PRES,ORG04,Partido del Buen Gobierno,21,190,231,14,27,305,contabilizada
M00002-01,D00002,EG2026-PRES,ORG05,Otros,77,190,231,14,27,305,contabilizada
M00002-02,D00002,EG2026-PRES,ORG01,Fuerza Popular,25,114,129,7,8,237,contabilizada
M00002-02,D00002,EG2026-PRES,ORG02,Juntos por el Peru,14,114,129,7,8,237,contabilizada
M00002-02,D00002,EG2026-PRES,ORG03,Renovacion Popular,23,114,129,7,8,237,contabilizada
M00002-02,D00002,EG2026-PRES,ORG04,Partido del Buen Gobierno,15,114,129,7,8,237,contabilizada
M00002-02,D00002,EG2026-PRES,ORG05,Otros,37,114,129,7,8,237,contabilizada
M00002-03,D00002,EG2026-PRES,ORG01,Fuerza Popular,45,178,215,19,18,275,contabilizada
M00002-03,D00002,EG2026-PRES,ORG02,Juntos por el Peru,18,178,215,19,18,275,contabilizada
M00002-03,D00002,EG2026-PRES,ORG03,Renovacion Popular,20,178,215,19,18,275,contabilizada
M00002-03,D00002,EG2026-PRES,ORG04,Partido del Buen Gobierno,28,178,215,19,18,275,contabilizada
M00002-03,D00002,EG2026-PRES,ORG05,Otros,67,178,215,19,18,275,contabilizada
M00002-04,D00002,EG2026-PRES,ORG01,Fuerza Popular,38,232,285,26,27,394,contabilizada
M00002-04,D00002,EG2026-PRES,ORG02,Juntos por el Peru,19,232,285,26,27,394,contabilizada
M00002-04,D00002,EG2026-PRES,ORG03,Renovacion Popular,48,232,285,26,27,394,contabilizada
M00002-04,D00002,EG2026-PRES,ORG04,Partido del Buen Gobierno,34,232,285,26,27,394,contabilizada
M00002-04,D00002,EG2026-PRES,ORG05,Otros,93,232,285,26,27,394,contabilizada
M00002-05,D00002,EG2026-PRES,ORG01,Fuerza Popular,28,177,201,12,12,283,contabilizada
M00002-05,D00002,EG2026-PRES,ORG02,Juntos por el Peru,16,177,201,12,12,283,contabilizada
M00002-05,D00002,EG2026-PRES,ORG03,Renovacion Popular,34,177,201,12,12,283,contabilizada
M00002-05,D00002,EG2026-PRES,ORG04,Partido del Buen Gobierno,19,177,201,12,12,283,contabilizada
M00002-05,D00002,EG2026-PRES,ORG05,Otros,80,177,201,12,12,283,contabilizada
M00002-06,D00002,EG2026-PRES,ORG01,Fuerza Popular,44,220,267,16,31,338,observada
M00002-06,D00002,EG2026-PRES,ORG02,Juntos por el Peru,27,220,267,16,31,338,observada
M00002-06,D00002,EG2026-PRES,ORG03,Renovacion Popular,45,220,267,16,31,338,observada
M00002-06,D00002,EG2026-PRES,ORG04,Partido del Buen Gobierno,31,220,267,16,31,338,observada
M00002-06,D00002,EG2026-PRES,ORG05,Otros,73,220,267,16,31,338,observada
M00003-01,D00003,EG2026-PRES,ORG01,Fuerza Popular,5,139,165,12,14,215,contabilizada
M00003-01,D00003,EG2026-PRES,ORG02,Juntos por el Peru,36,139,165,12,14,215,contabilizada
M00003-01,D00003,EG2026-PRES,ORG03,Renovacion Popular,12,139,165,12,14,215,contabilizada
M00003-01,D00003,EG2026-PRES,ORG04,Partido del Buen Gobierno,20,139,165,12,14,215,contabilizada
M00003-01,D00003,EG2026-PRES,ORG05,Otros,66,139,165,12,14,215,contabilizada
M00003-02,D00003,EG2026-PRES,ORG01,Fuerza Popular,25,156,176,7,13,231,contabilizada
M00003-02,D00003,EG2026-PRES,ORG02,Juntos por el Peru,36,156,176,7,13,231,contabilizada
M00003-02,D00003,EG2026-PRES,ORG03,Renovacion Popular,9,156,176,7,13,231,contabilizada
M00003-02,D00003,EG2026-PRES,ORG04,Partido del Buen Gobierno,20,156,176,7,13,231,contabilizada
M00003-02,D00003,EG2026-PRES,ORG05,Otros,66,156,176,7,13,231,contabilizada
M00003-03,D00003,EG2026-PRES,ORG01,Fuerza Popular,13,126,150,9,15,210,observada
M00003-03,D00003,EG2026-PRES,ORG02,Juntos por el Peru,25,126,150,9,15,210,observada
M00003-03,D00003,EG2026-PRES,ORG03,Renovacion Popular,13,126,150,9,15,210,observada
M00003-03,D00003,EG2026-PRES,ORG04,Partido del Buen Gobierno,18,126,150,9,15,210,observada
M00003-03,D00003,EG2026-PRES,ORG05,Otros,57,126,150,9,15,210,observada
M00003-04,D00003,EG2026-PRES,ORG01,Fuerza Popular,37,256,292,13,23,355,contabilizada
M00003-04,D00003,EG2026-PRES,ORG02,Juntos por el Peru,67,256,292,13,23,355,contabilizada
M00003-04,D00003,EG2026-PRES,ORG03,Renovacion Popular,22,256,292,13,23,355,contabilizada
M00003-04,D00003,EG2026-PRES,ORG04,Partido del Buen Gobierno,26,256,292,13,23,355,contabilizada
M00003-04,D00003,EG2026-PRES,ORG05,Otros,104,256,292,13,23,355,contabilizada
M00003-05,D00003,EG2026-PRES,ORG01,Fuerza Popular,33,230,264,8,26,293,contabilizada
M00003-05,D00003,EG2026-PRES,ORG02,Juntos por el Peru,52,230,264,8,26,293,contabilizada
M00003-05,D00003,EG2026-PRES,ORG03,Renovacion Popular,16,230,264,8,26,293,contabilizada
M00003-05,D00003,EG2026-PRES,ORG04,Partido del Buen Gobierno,26,230,264,8,26,293,contabilizada
M00003-05,D00003,EG2026-PRES,ORG05,Otros,103,230,264,8,26,293,contabilizada
M00003-06,D00003,EG2026-PRES,ORG01,Fuerza Popular,14,151,175,12,12,219,contabilizada
M00003-06,D00003,EG2026-PRES,ORG02,Juntos por el Peru,27,151,175,12,12,219,contabilizada
M00003-06,D00003,EG2026-PRES,ORG03,Renovacion Popular,11,151,175,12,12,219,contabilizada
M00003-06,D00003,EG2026-PRES,ORG04,Partido del Buen Gobierno,13,151,175,12,12,219,contabilizada
M00003-06,D00003,EG2026-PRES,ORG05,Otros,86,151,175,12,12,219,contabilizada
M00004-01,D00004,EG2026-PRES,ORG01,Fuerza Popular,34,245,300,26,29,367,observada
M00004-01,D00004,EG2026-PRES,ORG02,Juntos por el Peru,29,245,300,26,29,367,observada
M00004-01,D00004,EG2026-PRES,ORG03,Renovacion Popular,24,245,300,26,29,367,observada
M00004-01,D00004,EG2026-PRES,ORG04,Partido del Buen Gobierno,33,245,300,26,29,367,observada
M00004-01,D00004,EG2026-PRES,ORG05,Otros,125,245,300,26,29,367,observada
M00004-02,D00004,EG2026-PRES,ORG01,Fuerza Popular,27,125,148,8,15,218,contabilizada
M00004-02,D00004,EG2026-PRES,ORG02,Juntos por el Peru,17,125,148,8,15,218,contabilizada
M00004-02,D00004,EG2026-PRES,ORG03,Renovacion Popular,13,125,148,8,15,218,contabilizada
M00004-02,D00004,EG2026-PRES,ORG04,Partido del Buen Gobierno,11,125,148,8,15,218,contabilizada
M00004-02,D00004,EG2026-PRES,ORG05,Otros,57,125,148,8,15,218,contabilizada
M00004-03,D00004,EG2026-PRES,ORG01,Fuerza Popular,20,112,134,8,14,218,contabilizada
