departamento,distrito_sintetico,tipo_area_sintetica,electores_habiles_sintetico,participacion_ciudadana_pct_sintetica,votos_blancos_nulos_pct_sintetico
Amazonas,AMA-01,urbano,30150,72.62,19.23
Amazonas,AMA-02,urbano,117453,76.13,14.0
Amazonas,AMA-03,rural,86479,64.66,27.58
Amazonas,AMA-04,urbano,79256,78.21,14.62
Amazonas,AMA-05,rural,136904,73.45,14.39
Amazonas,AMA-06,mixto,83038,66.72,15.31
Amazonas,AMA-07,urbano,89165,77.25,17.07
Amazonas,AMA-08,rural,12523,72.18,21.7
Amazonas,AMA-09,mixto,25693,81.03,15.71
Amazonas,AMA-10,urbano,5599,65.33,13.92
Amazonas,AMA-11,rural,43169,81.3,12.83
Ancash,ANC-01,urbano,88258,79.02,12.54
Ancash,ANC-02,urbano,94836,75.45,8.53
Ancash,ANC-03,rural,58870,65.33,16.65
Ancash,ANC-04,mixto,3735,75.01,25.98
Ancash,ANC-05,rural,25315,77.56,25.58
Ancash,ANC-06,urbano,134259,67.01,17.51
Ancash,ANC-07,rural,11309,75.25,19.4
Ancash,ANC-08,urbano,96051,64.23,24.75
Ancash,ANC-09,rural,16185,76.09,22.82
Ancash,ANC-10,mixto,119535,65.24,13.59
Ancash,ANC-11,urbano,8466,81.99,13.74
Ancash,ANC-12,rural,84417,74.91,22.36
Ancash,ANC-13,urbano,135135,64.47,16.38
Ancash,ANC-14,urbano,29217,60.42,13.08
Apurimac,APU-01,urbano,122094,80.32,16.08
Apurimac,APU-02,urbano,50771,73.8,18.09
Apurimac,APU-03,mixto,87131,71.7,20.81
Apurimac,APU-04,rural,106777,80.36,21.35
Apurimac,APU-05,mixto,60798,82.9,26.51
Apurimac,APU-06,urbano,17283,72.05,15.44
Apurimac,APU-07,rural,7615,80.12,20.89
Apurimac,APU-08,urbano,11398,79.39,15.6
Arequipa,ARE-01,urbano,102212,75.87,20.25
Arequipa,ARE-02,rural,36809,71.01,19.53
Arequipa,ARE-03,rural,77302,70.9,17.54
Arequipa,ARE-04,rural,44417,76.2,20.79
Arequipa,ARE-05,mixto,70588,78.02,18.61
Arequipa,ARE-06,urbano,77196,72.79,17.3
Arequipa,ARE-07,urbano,41711,75.71,16.29
Arequipa,ARE-08,urbano,3015,65.13,16.25
Arequipa,ARE-09,rural,128304,78.67,18.17
Arequipa,ARE-10,mixto,26883,74.2,18.83
Arequipa,ARE-11,rural,99837,77.51,14.21
Arequipa,ARE-12,rural,94539,78.11,18.9
Arequipa,ARE-13,rural,120433,78.01,19.17
Ayacucho,AYA-01,urbano,21639,70.08,25.49
Ayacucho,AYA-02,mixto,18309,68.63,24.02
Ayacucho,AYA-03,mixto,39440,84.91,23.81
Ayacucho,AYA-04,rural,66897,76.04,17.81
Ayacucho,AYA-05,urbano,115981,71.67,16.53
Ayacucho,AYA-06,mixto,94977,74.24,17.99
Ayacucho,AYA-07,rural,78894,78.45,13.76
Ayacucho,AYA-08,urbano,40416,70.57,14.38
Ayacucho,AYA-09,urbano,66178,71.28,15.97
Ayacucho,AYA-10,urbano,6506,74.95,20.69
Ayacucho,AYA-11,urbano,18704,74.72,12.64
Ayacucho,AYA-12,rural,42200,75.79,21.12
Ayacucho,AYA-13,urbano,26501,76.37,13.57
Ayacucho,AYA-14,mixto,45869,79.86,12.4
Ayacucho,AYA-15,urbano,52441,66.79,15.7
Ayacucho,AYA-16,rural,118214,70.73,20.77
Ayacucho,AYA-17,rural,53540,74.64,17.39
Cajamarca,CAJ-01,rural,65949,74.89,15.35
Cajamarca,CAJ-02,rural,34441,72.42,12.91
Cajamarca,CAJ-03,mixto,138201,70.69,18.34
Cajamarca,CAJ-04,mixto,43672,76.51,27.29
Cajamarca,CAJ-05,urbano,11966,71.39,21.99
Cajamarca,CAJ-06,rural,117341,76.75,23.31
Cajamarca,CAJ-07,urbano,44665,71.82,17.72
Cajamarca,CAJ-08,urbano,103179,68.53,7.0
Cajamarca,CAJ-09,urbano,8452,78.74,13.93
Cajamarca,CAJ-10,urbano,50864,68.47,18.0
Cajamarca,CAJ-11,mixto,131834,79.3,14.19
Cajamarca,CAJ-12,urbano,113551,78.36,24.1
Callao,CAL-01,rural,119499,76.53,25.73
Callao,CAL-02,urbano,66180,73.91,8.47
Callao,CAL-03,rural,122928,71.61,19.69
Callao,CAL-04,urbano,101464,72.08,23.01
Callao,CAL-05,mixto,88311,77.14,18.14
Callao,CAL-06,mixto,111257,66.55,19.63
Callao,CAL-07,rural,127890,68.9,16.83
Callao,CAL-08,urbano,23902,69.0,15.13
Callao,CAL-09,mixto,121913,73.77,21.82
Callao,CAL-10,rural,102621,77.23,14.96
Cusco,CUS-01,mixto,103440,71.79,11.72
Cusco,CUS-02,urbano,7752,74.05,25.27
Cusco,CUS-03,mixto,123684,76.88,19.63
Cusco,CUS-04,rural,82529,73.66,24.14
Cusco,CUS-05,rural,121322,76.24,17.6
Cusco,CUS-06,mixto,70836,75.6,25.19
Cusco,CUS-07,rural,42653,73.83,20.08
Cusco,CUS-08,urbano,118887,78.09,25.3
Cusco,CUS-09,urbano,126704,74.32,20.05
Cusco,CUS-10,urbano,113864,70.35,22.87
Cusco,CUS-11,mixto,99831,66.42,22.76
Cusco,CUS-12,urbano,39129,63.45,13.12
Huancavelica,HUA-01,mixto,135488,76.83,17.8
Huancavelica,HUA-02,urbano,82398,75.87,22.12
Huancavelica,HUA-03,mixto,6348,66.3,14.64
Huancavelica,HUA-04,mixto,134252,73.35,19.24
Huancavelica,HUA-05,urbano,68950,64.39,26.21
Huancavelica,HUA-06,urbano,9911,79.43,16.29
Huancavelica,HUA-07,urbano,31936,71.67,13.8
Huancavelica,HUA-08,rural,63787,84.48,18.36
Huancavelica,HUA-09,urbano,20918,63.64,10.82
Huancavelica,HUA-10,urbano,32771,70.36,19.36
Huancavelica,HUA-11,mixto,38030,70.61,13.2
Huancavelica,HUA-12,urbano,49326,59.29,17.0
Huancavelica,HUA-13,mixto,106496,71.42,7.86
Huancavelica,HUA-14,rural,39475,79.47,17.57
Huancavelica,HUA-15,mixto,93965,72.24,15.6
Huancavelica,HUA-16,rural,129203,77.78,22.86
Huancavelica,HUA-17,rural,68281,85.81,19.24
Huanuco,HUA-01,mixto,80173,83.14,20.0
Huanuco,HUA-02,mixto,31744,78.15,26.23
Huanuco,HUA-03,rural,70632,67.35,12.99
Huanuco,HUA-04,urbano,71009,69.17,17.67
Huanuco,HUA-05,rural,109836,65.22,21.44
Huanuco,HUA-06,urbano,13601,72.11,17.62
Huanuco,HUA-07,urbano,44696,69.54,17.25
Huanuco,HUA-08,urbano,18444,67.04,15.31
Ica,ICA-01,urbano,66493,66.62,10.17
Ica,ICA-02,urbano,13865,70.54,11.06
Ica,ICA-03,urbano,115987,74.35,26.69
Ica,ICA-04,mixto,46506,75.69,21.74
Ica,ICA-05,urbano,73780,76.4,18.28
Ica,ICA-06,rural,107771,73.58,16.63
Ica,ICA-07,urbano,117954,74.83,15.85
Ica,ICA-08,urbano,101504,77.14,20.47
Ica,ICA-09,rural,52772,73.29,23.56
Ica,ICA-10,rural,54790,72.22,21.89
Ica,ICA-11,urbano,129661,73.83,13.62
Junin,JUN-01,mixto,122602,73.16,14.09
Junin,JUN-02,urbano,70124,76.16,15.1
Junin,JUN-03,urbano,66163,71.62,16.3
Junin,JUN-04,urbano,45839,72.62,23.1
Junin,JUN-05,urbano,101086,72.71,18.07
Junin,JUN-06,urbano,8063,71.37,17.39
Junin,JUN-07,mixto,48389,75.43,22.87
